00652364325,João,2,12,1967
87992906242,Maria,7,12,1972
71636362025,Pedro,10,1,1972
05066457016,Manoel,31,6,1979
31583666062,Cleiton,19,1,1975
14790153132,Alberto,11,2,1981
67922028656,Jefferson,26,9,1970
49256695539,Cláudio,3,9,1961
54270085332,Cleber,3,2,1960
69124797078,André,18,11,1985
31916565659,Antônio,15,1,1976
23189330972,Fernando,13,9,1974
07693027348,Luiza,22,1,1978
85720297948,Clara,30,6,1971
07616263815,Joana,21,3,1975
37849453529,Maurício,23,3,1966
56141936083,Gustavo,17,10,1987
01808742085,Vitor,25,4,1987
87192765598,Vinícius,17,3,1964
56233451529,Júlio,17,8,1965
82235073905,José,18,10,1969
21507370739,Arthur,7,12,1976
91572510062,Patrícia,28,11,1979
46465492463,Jéssica,21,5,1980
95920097772,Lúcia,9,11,1988
76620692236,Beatriz,8,8,1989
20813863575,Daniel,3,6,1980
47434032581,Herbert,4,8,1982
00520833319,Lúcio,1,10,1973
43227500669,Priscila,19,2,1972
82306829383,Ana,4,7,1973
88064835673,Lucas,16,12,1982
32231598469,Matheus,17,2,1961
19472492238,Sílvio,24,1,1979
42675746739,Fábio,5,7,1964
02675535019,Clarisse,31,9,1977
15393686560,Valter,9,7,1974
48123140112,Xavier,26,6,1967
57935865529,Airton,28,7,1967
64975777003,Morais,27,2,1968
56436687046,Rosa,17,4,1989
70051217698,Vilma,26,12,1988
17392203011,Henrique,12,12,1972
02311850482,Carlos,19,6,1966
75597752161,Eduardo,23,2,1989
41417065438,Bruno,1,1,1980
34736500228,Ricardo,5,10,1981
41262393647,Hélio,13,5,1987
17273351515,Luiz,31,11,1963
01210269989,Edson,3,2,1967
